variables catégorielles;variables numériques;one hot encoding=;encodage num;normalisation;;Score train;Score test;MSE ;RMSE ;MAE ;diff train test
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;LinearRegression ;0,789;0,793;297,74;17,255;12,254;0,4 %
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;RandomForestRegressor(random_state=42) ;0,987;97,2 %;40,01;6,325;2,391;-1,5 %
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;Ridge(alpha=1,0) ;0,789;0,793;297,85;17,258;12,257;0,4 %
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;Lasso(alpha=0,1);75,5 %;75,8 %;348,36;18,664;13,045;0,3 %
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;ElasticNet(alpha=0,1, l1_ratio=0,5);73,1 %;73,3 %;384,4;19,606;13,771;0,2 %
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;KneighborsRegressor(n_neighbors=3);0,976;0,963;53,32;7,302;2,851;-1,3 %
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;KneighborsRegressor(n_neighbors=4);;;;;;
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;KneighborsRegressor(n_neighbors=5);;;;;;
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler; DecisionTreeRegressor(random_state=42);99,0 %;96,3 %;56,94;7,546;2,396;-2,7 %
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;GradientBoostingRegressor(n_estimators=100, learning_rate=0,1, random_state=42);0,837;0,84;229,75;15,157;10,68;0,3 %
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;GradientBoostingRegressor(n_estimators=500, learning_rate=0,1, random_state=42,max_depth=4);91,6 %;91,7 %;120,05;10,957;7,341;0,1 %
'Mk', 'Ft' ;'m (kg)','w (mm)','at1 (mm)','at2 (mm)','ec (cm3)','ep (KW)' ;"
 'Mk', 'Ft'";SimpleImputer(mean);StandardScaler;GradientBoostingRegressor(n_estimators=500, learning_rate = 0.2,  max_depth = 7,  min_samples_leaf =  1,  min_samples_split =  10, subsample = 0.8, random_state=42);96,8 %;96,0 %;58,27;7,634;4,463;-0,8 %
